id	time_scraped	follower	followed
2431941	2022-10-29T20:58:07.854235Z	4118	52309
2431986	2022-10-29T20:58:35.517900Z	4118	25014
2431990	2022-10-29T20:58:37.685023Z	4118	176292
2432070	2022-10-29T20:59:28.081036Z	4118	3223
2432076	2022-10-29T20:59:30.421396Z	4118	167072
2432082	2022-10-29T20:59:33.552560Z	4118	17556
2432089	2022-10-29T20:59:38.232192Z	4118	15420
2432096	2022-10-29T20:59:43.249468Z	4118	12077
2432102	2022-10-29T20:59:46.649321Z	4118	91667
2432109	2022-10-29T20:59:51.521911Z	4118	189108
2432115	2022-10-29T20:59:56.247786Z	4118	360661
2432122	2022-10-29T21:00:00.777386Z	4118	17642
2432129	2022-10-29T21:00:06.358131Z	4118	64097
2432135	2022-10-29T21:00:11.243334Z	4118	426998
2432142	2022-10-29T21:00:15.773022Z	4118	115723
2432148	2022-10-29T21:00:18.566853Z	4118	56075
2432155	2022-10-29T21:00:23.129114Z	4118	53200
2432161	2022-10-29T21:00:26.146466Z	4118	261466
2432168	2022-10-29T21:00:31.013035Z	4118	124871
2432174	2022-10-29T21:00:36.061200Z	4118	18445
2432179	2022-10-29T21:00:40.821233Z	4118	148183
2432225	2022-10-29T21:01:09.619368Z	4118	151102
2432232	2022-10-29T21:01:14.038569Z	4118	12432
2432238	2022-10-29T21:01:17.881121Z	4118	41151
2432245	2022-10-29T21:01:22.789081Z	4118	15381
2432251	2022-10-29T21:01:26.611884Z	4118	22222
2432290	2022-10-29T21:01:56.761892Z	4118	133986
2432294	2022-10-29T21:01:59.362453Z	4118	70964
2432345	2022-10-29T21:02:33.541215Z	4118	125087
2432348	2022-10-29T21:02:35.581068Z	4118	15078
2432352	2022-10-29T21:02:37.211803Z	4118	146880
2432359	2022-10-29T21:02:38.678704Z	4118	73946
2432365	2022-10-29T21:02:42.433225Z	4118	32335
2432369	2022-10-29T21:02:45.973030Z	4118	4630
2432373	2022-10-29T21:02:48.301433Z	4118	92990
2432377	2022-10-29T21:02:50.222703Z	4118	56991
2432394	2022-10-29T21:03:01.749139Z	4118	414360
2432398	2022-10-29T21:03:04.765551Z	4118	22571
2432402	2022-10-29T21:03:06.883040Z	4118	69057
2432405	2022-10-29T21:03:09.041458Z	4118	15252
2432409	2022-10-29T21:03:11.266632Z	4118	89460
2432417	2022-10-29T21:03:15.490788Z	4118	78040
2432423	2022-10-29T21:03:19.117516Z	4118	38301
2432434	2022-10-29T21:03:22.545147Z	4118	81538
2432441	2022-10-29T21:03:26.512963Z	4118	189750
2432447	2022-10-29T21:03:30.698345Z	4118	10649
2432455	2022-10-29T21:03:38.545178Z	4118	34701
2432462	2022-10-29T21:03:42.533102Z	4118	218333
2432465	2022-10-29T21:03:43.982485Z	4118	15427
2432539	2022-10-29T21:04:24.585811Z	4118	17524
2432543	2022-10-29T21:04:26.305453Z	4118	30463
2432546	2022-10-29T21:04:28.601287Z	4118	77405
1118718	2022-10-13T06:32:06.133183Z	8329	199
2432552	2022-10-29T21:04:31.834291Z	4118	190123
2432555	2022-10-29T21:04:34.947560Z	4118	150814
2432559	2022-10-29T21:04:37.298820Z	4118	28981
2432564	2022-10-29T21:04:39.801253Z	4118	31190
2432567	2022-10-29T21:04:42.305443Z	4118	157999
2432571	2022-10-29T21:04:44.053729Z	4118	147075
2432675	2022-10-29T21:05:48.545161Z	4118	130492
2432679	2022-10-29T21:05:50.265952Z	4118	18494
2432688	2022-10-29T21:05:57.623398Z	4118	240426
2432692	2022-10-29T21:05:59.765055Z	4118	22111
2432701	2022-10-29T21:06:06.325223Z	4118	156854
2432711	2022-10-29T21:06:11.561196Z	4118	16008
2432718	2022-10-29T21:06:15.533258Z	4118	189586
2432726	2022-10-29T21:06:19.184864Z	4118	366690
2432730	2022-10-29T21:06:21.584987Z	4118	147031
2432733	2022-10-29T21:06:23.988946Z	4118	400271
2432741	2022-10-29T21:06:27.957454Z	4118	286707
2432746	2022-10-29T21:06:32.125325Z	4118	58140
2432818	2022-10-29T21:07:16.277133Z	4118	50819
2432822	2022-10-29T21:07:20.065200Z	4118	162088
2432828	2022-10-29T21:07:22.881262Z	4118	33816
2432833	2022-10-29T21:07:25.457213Z	4118	31474
2432841	2022-10-29T21:07:27.969195Z	4118	205109
2432845	2022-10-29T21:07:33.377403Z	4118	71149
2432848	2022-10-29T21:07:35.696053Z	4118	8596
2433003	2022-10-29T21:09:12.733235Z	4118	147131
2433008	2022-10-29T21:09:15.325094Z	4118	223857
2433015	2022-10-29T21:09:19.438843Z	4118	150833
2433018	2022-10-29T21:09:21.597238Z	4118	11718
2433023	2022-10-29T21:09:23.989797Z	4118	5414
2433026	2022-10-29T21:09:25.949094Z	4118	153546
2433053	2022-10-29T21:09:41.037099Z	4118	56757
2433061	2022-10-29T21:09:45.553342Z	4118	195516
2433071	2022-10-29T21:09:49.897156Z	4118	3053
2433080	2022-10-29T21:09:57.240980Z	4118	363850
2432904	2022-10-29T21:08:11.382048Z	4118	146957
2432912	2022-10-29T21:08:15.517120Z	4118	75131
2432917	2022-10-29T21:08:17.717193Z	4118	426999
2432920	2022-10-29T21:08:19.512959Z	4118	25662
2432923	2022-10-29T21:08:21.461103Z	4118	30474
2433120	2022-10-29T21:10:22.889593Z	4118	7864
2433148	2022-10-29T21:10:42.565010Z	4118	34363
2433150	2022-10-29T21:10:44.313007Z	4118	237893
2433154	2022-10-29T21:10:46.105282Z	4118	26172
2433162	2022-10-29T21:10:50.113210Z	4118	67807
2433165	2022-10-29T21:10:54.249120Z	4118	69111
